,Type,Date,Ship Date,Deliv Date,Terms,Due Date,Num,P. O. #,Name,Qty,Invoiced,Backordered,Amount,Item,Rep,Open Balance,Inventory Site
Inventory,,,,,,,,,,,,,,,,,
Accessory,,,,,,,,,,,,,,,,,
,Sales Order,03/05/2025,12/26/2025,,Net 30,04/04/2025,SO-20250332,PO208679,Noah Medical U.S.,2,0,2,12,Accessory:Ant-RP_SMAM-WiFi-196MM1,A800,12,WH01S-NTA
,Sales Order,03/05/2025,10/24/2025,,Net 30,04/04/2025,SO-20250326,PO208679,Noah Medical U.S.,10,0,10,60,Accessory:Ant-RP_SMAM-WiFi-196MM1,A800,60,WH01S-NTA
,Sales Order,03/05/2025,12/26/2025,,Net 30,04/04/2025,SO-20250327,PO208679,Noah Medical U.S.,10,0,10,60,Accessory:Ant-RP_SMAM-WiFi-196MM1,A800,60,WH01S-NTA
,Sales Order,03/05/2025,02/20/2026,,Net 30,04/04/2025,SO-20250328,PO208679,Noah Medical U.S.,10,0,10,60,Accessory:Ant-RP_SMAM-WiFi-196MM1,A800,60,WH01S-NTA
,Sales Order,03/05/2025,04/24/2026,,Net 30,04/04/2025,SO-20250329,PO208679,Noah Medical U.S.,6,0,6,36,Accessory:Ant-RP_SMAM-WiFi-196MM1,A800,36,WH01S-NTA
,Sales Order,08/15/2025,10/23/2025,,Prepay,08/15/2025,SO-20251167,PO5382,"Dexterity, Inc.",2,0,2,12,Accessory:Ant-RP_SMAM-WiFi-196MM1,A800,12,WH01S-NTA
,Sales Order,08/18/2025,10/08/2025,,Net 60,10/17/2025,SO-20251169,612452,"Uber Technologies, Inc.",40,0,40,240,Accessory:Ant-RP_SMAM-WiFi-196MM1,A800,240,WH01S-NTA
,Sales Order,08/19/2025,10/17/2025,,Net 60,10/18/2025,SO-20251175,612452,"Uber Technologies, Inc.",40,0,40,240,Accessory:Ant-RP_SMAM-WiFi-196MM1,A800,240,WH01S-NTA
,Sales Order,08/19/2025,10/24/2025,,Net 60,10/18/2025,SO-20251176,612452,"Uber Technologies, Inc.",40,0,40,240,Accessory:Ant-RP_SMAM-WiFi-196MM1,A800,240,WH01S-NTA
,Sales Order,08/19/2025,10/24/2025,,Net 60,10/18/2025,SO-20251177,612452,"Uber Technologies, Inc.",40,0,40,240,Accessory:Ant-RP_SMAM-WiFi-196MM1,A800,240,WH01S-NTA
,Sales Order,08/19/2025,11/14/2025,,Net 60,10/18/2025,SO-20251179,612452,"Uber Technologies, Inc.",40,0,40,240,Accessory:Ant-RP_SMAM-WiFi-196MM1,A800,240,WH01S-NTA
,Sales Order,08/19/2025,11/14/2025,,Net 60,10/18/2025,SO-20251178,612452,"Uber Technologies, Inc.",50,0,50,300,Accessory:Ant-RP_SMAM-WiFi-196MM1,A800,300,WH01S-NTA
,Sales Order,08/28/2025,10/21/2025,,Net 30,09/27/2025,SO-20251229,CYNGN-1275,CYNGN INC.,8,0,8,48,Accessory:Ant-RP_SMAM-WiFi-196MM1,A800,48,WH01S-NTA
,Sales Order,09/04/2025,10/14/2025,,Net 30,10/04/2025,SO-20251253,PO4056,"Seafloor Systems, Inc.",16,0,16,96,Accessory:Ant-RP_SMAM-WiFi-196MM1,A800,96,WH01S-NTA
,Sales Order,09/11/2025,10/03/2025,,Prepay,09/11/2025,SO-20251298,N091125,Ball Horticultural Company,6,0,6,48,Accessory:Ant-RP_SMAM-WiFi-196MM1,A689,48,WH01S-NTA
,Sales Order,09/12/2025,10/24/2025,,Prepay,09/12/2025,SO-20251306,PO-036318,ADVANCED TECH & RESEARCH,6,0,6,42,Accessory:Ant-RP_SMAM-WiFi-196MM1,A777,42,WH01S-NTA
,Sales Order,09/22/2025,12/19/2025,,Prepay,09/22/2025,SO-20251341,PO51658,"Graftek Imaging, Inc.",2,0,2,12,Accessory:Ant-RP_SMAM-WiFi-196MM1,A689,12,WH01S-NTA
,Sales Order,09/26/2025,10/14/2025,,Prepay,09/26/2025,SO-20251369,165320,"Northbay Networks, Inc.",8,0,8,48,Accessory:Ant-RP_SMAM-WiFi-196MM1,A800,48,WH01S-NTA
,Sales Order,09/30/2025,12/31/2025,,Prepay,09/30/2025,SO-20251391,QTD_IES_2508263,Intelligent Energy Systems,4,0,4,32,Accessory:Ant-RP_SMAM-WiFi-196MM1,A800,32,WH01S-NTA
,Sales Order,09/30/2025,12/31/2025,,Prepay,09/30/2025,SO-20251400,4017695,F.K. MACHINERY LTD.,2,0,2,12,Accessory:Ant-RP_SMAM-WiFi-196MM1,A702,12,WH01S-NTA
Total Ant-RP_SMAM-WiFi-196MM1,,,,,,,,,,366,0,366,2222,,,2222,
Ant-SMAM-GPS-300CM,,,,,,,,,,,,,,,,,
,Sales Order,09/30/2025,12/31/2025,,Prepay,09/30/2025,SO-20251391,QTD_IES_2508263,Intelligent Energy Systems,2,0,2,26,Accessory:Ant-SMAM-GPS-300CM,A800,26,WH01S-NTA
Total Ant-SMAM-GPS-300CM,,,,,,,,,,2,0,2,26,,,26,
Ant-SMAM-LTE,,,,,,,,,,,,,,,,,
,Sales Order,08/18/2025,10/08/2025,,Net 60,10/17/2025,SO-20251169,612452,"Uber Technologies, Inc.",40,0,40,280,Accessory:Ant-SMAM-LTE,A800,280,WH01S-NTA
,Sales Order,08/19/2025,10/17/2025,,Net 60,10/18/2025,SO-20251175,612452,"Uber Technologies, Inc.",40,0,40,280,Accessory:Ant-SMAM-LTE,A800,280,WH01S-NTA
