Order Date,Ship Date,QB Num,P. O. #,Name,Qty(-),Qty(+),Item,Inventory Site,Remark
2025/08/28,,POD-251229,SO-20251228,Neousys Technology Incorp.,0,3,Cbl-M12S4F-CordEnd4-180CM,WH02D-NTA,SO25090115
2025/08/28,,POD-251229,SO-20251228,Neousys Technology Incorp.,0,2,DDR4-32GB-ECC32WT-IK,WH02D-NTA,SO25090115
2025/08/28,,POD-251229,SO-20251228,Neousys Technology Incorp.,0,2,DDR4-32GB-ECC32WT-SM,WH02D-NTA,SO25090115
2025/08/28,,POD-251229,SO-20251228,Neousys Technology Incorp.,0,2,DDR4-32GB-ECC32WT-TD,WH02D-NTA,SO25090115
2025/08/28,,POD-251229,SO-20251228,Neousys Technology Incorp.,0,2,DDR4-32GB-ECC32WT-SP,WH02D-NTA,SO25090115
2025/09/08,2025/10/8,POD-251275,SO-20251253,Neousys Technology Incorp.,0,8,Nuvo-9531-PoE,WH01S-NTA,SO25090135
2025/09/08,2025/10/16,POD-251275,SO-20251253,Neousys Technology Incorp.,0,2,M.280-SSD-512GB-PCIe44-TLC5-PN,WH01S-NTA,SO25090135
2025/09/08,2025/10/16,POD-251276,,Neousys Technology Incorp.,0,2,Nuvo-10108GC-10G,WH01S-NTA,SO25090136
2025/09/08,2025/10/16,POD-251278,SO-20251260,Neousys Technology Incorp.,0,20,DINRAIL-O,WH01S-NTA,SO25090138
2025/09/08,2025/10/8,POD-251279,SO-20251262,Neousys Technology Incorp.,0,4,NRU-120S-AGX32G,WH01S-NTA,SO25090139
2025/09/08,2025/10/8,POD-251279,SO-20251262,Neousys Technology Incorp.,0,8,AccsyBx-FAN-NRU-100,WH01S-NTA,SO25090139
2025/09/08,2025/10/8,POD-251273,,Neousys Technology Incorp.,0,10,i7-9700E,WH01S-NTA,SO25090143
2025/09/08,2025/10/8,POD-251274,SO-20251254,Neousys Technology Incorp.,0,5,POC-712-UL,WH01S-NTA,SO25090144
2025/09/08,2025/10/8,POD-251274,SO-20251254,Neousys Technology Incorp.,0,10,Wmkit-H-POC500,WH01S-NTA,SO25090144
2025/09/09,2025/10/16,POD-251287,SO-20251265,Neousys Technology Incorp.,0,1,POC-400,WH01S-NTA,SO25090157
2025/09/09,2025/10/16,POD-251287,SO-20251265,Neousys Technology Incorp.,0,1,Wmkit-H-POC300_400,WH01S-NTA,SO25090157
2025/09/09,2025/10/8,POD-251288,,Neousys Technology Incorp.,0,2,Nuvo-9006LP,WH01S-NTA,SO25090158
2025/09/11,2025/10/16,POD-251298,,Neousys Technology Incorp.,0,4,Nuvo-9006DE-PoE-UL,WH01S-NTA,SO25090221
2025/09/11,2025/10/16,POD-251298,,Neousys Technology Incorp.,0,2,Nuvo-9501,WH01S-NTA,SO25090221
2025/09/11,2025/10/16,POD-251300,SO-20251287,Neousys Technology Incorp.,0,1,NRU-120S-AGX32G,WH01S-NTA,SO25090223
2025/09/11,2025/10/22,POD-251301,SO-20251281,Neousys Technology Incorp.,0,1,Win10Pro-ENG64,WH01S-NTA,SO25090224
2025/09/12,2025/10/22,POD-251305,SO-20251295,Neousys Technology Incorp.,0,1,Win10Pro-ENG64,WH01S-NTA,SO25090238
2025/09/12,2025/10/16,POD-251306,SO-20251294,Neousys Technology Incorp.,0,1,Nuvo-9531-FT,WH01S-NTA,SO25090239
