Order Date,QB Num,P. O. #,Name,Qty(+),Item,Inventory Site,Deliv Date
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,20.0,M.2-LTE-7455,WH01S-NTA,
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,60.0,Cbl-MHF4-SMAF-30CM,WH01S-NTA,
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,20.0,GC-Jetson-AGX32GB-Orin-Nvidia,WH01S-NTA,
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,20.0,NRU-222S,WH01S-NTA,
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,20.0,mPCIe-M2E,WH01S-NTA,
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,20.0,Risr-M2B-mPCIe-SIMslot,WH01S-NTA,
2025/08/19,POD-251181,SO-20251176,Neousys Technology Incorp.,20.0,M.280-SSD-1TB-PCIe44-TLC5WT-TD,WH01S-NTA,
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,20.0,M.230-BTWIFI-AX210,WH01S-NTA,
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,20.0,M.280-SSD-1TB-PCIe44-TLC5WT-TD,WH01S-NTA,
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,20.0,NRU-222S,WH01S-NTA,
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,20.0,Risr-M2B-mPCIe-SIMslot,WH01S-NTA,
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,40.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA,
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,20.0,Cbl-M12A5F-OT2-B-Red-Fuse-100CM,WH01S-NTA,
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,20.0,M.2-LTE-7455,WH01S-NTA,
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,20.0,mPCIe-M2E,WH01S-NTA,
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,60.0,Cbl-MHF4-SMAF-30CM,WH01S-NTA,
2025/08/19,POD-251182,SO-20251177,Neousys Technology Incorp.,20.0,GC-Jetson-AGX32GB-Orin-Nvidia,WH01S-NTA,
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,25.0,GC-Jetson-AGX32GB-Orin-Nvidia,WH01S-NTA,
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,25.0,M.280-SSD-1TB-PCIe44-TLC5WT-TD,WH01S-NTA,
2025/08/19,POD-251183,SO-20251178,Neousys Technology Incorp.,25.0,M.230-BTWIFI-AX210,WH01S-NTA,
