Order Date,Ship Date,QB Num,P. O. #,Name,Qty(+),Qty(-),Item,Inventory Site,Remark,Pre/Bare
2025/08/19,2025/10/24,SO-20251176,612452,"Uber Technologies, Inc.",0,40.0,Ant-SMAM-LTE,WH01S-NTA,,Out
2025/08/19,2025/10/24,SO-20251177,612452,"Uber Technologies, Inc.",0,40.0,Ant-SMAM-LTE,WH01S-NTA,,Out
2025/08/19,2025/11/14,SO-20251179,612452,"Uber Technologies, Inc.",0,40.0,Ant-SMAM-LTE,WH01S-NTA,,Out
2025/08/19,2025/11/14,SO-20251178,612452,"Uber Technologies, Inc.",0,50.0,Ant-SMAM-LTE,WH01S-NTA,,Out
2025/09/26,2025/11/04,SO-20251369,165320,"Northbay Networks, Inc.",0,8.0,Ant-SMAM-LTE,WH01S-NTA,,Out
2025/10/10,2025/10/28,SO-20251453,QTD_Metal Minds_2510072,Metal Minds,0,2.0,Ant-SMAM-LTE,WH01S-NTA,,Out
2025/10/01,2025/10/29,SO-20251406,QTD_UIUC-250908,University of Illinois,0,1.0,Cbl-DB9F-2DB9M-15CM,WH01S-NTA,,Out
2025/07/22,2025/11/21,SO-20251030,16134,Automated Environments,0,25.0,Cbl-DB9F-3DB9M-15CM2,WH01S-NTA,,Out
2025/07/22,2026/01/30,SO-20251031,16134,Automated Environments,0,25.0,Cbl-DB9F-3DB9M-15CM2,WH01S-NTA,,Out
2025/07/22,2026/02/27,SO-20251032,16134,Automated Environments,0,25.0,Cbl-DB9F-3DB9M-15CM2,WH01S-NTA,,Out
2025/08/15,2025/10/23,SO-20251167,PO5382,"Dexterity, Inc.",0,4.0,Cbl-IDC085F-DB9M-30CM,WH01S-NTA,,Out
2025/08/19,2025/10/17,SO-20251175,612452,"Uber Technologies, Inc.",0,20.0,Cbl-M12A5F-OT2-B-Red-Fuse-100CM,WH01S-NTA,,Out
2025/08/19,2025/10/24,SO-20251176,612452,"Uber Technologies, Inc.",0,20.0,Cbl-M12A5F-OT2-B-Red-Fuse-100CM,WH01S-NTA,,Out
2025/08/19,2025/10/24,SO-20251177,612452,"Uber Technologies, Inc.",0,20.0,Cbl-M12A5F-OT2-B-Red-Fuse-100CM,WH01S-NTA,,Out
2025/08/19,2025/11/14,SO-20251179,612452,"Uber Technologies, Inc.",0,20.0,Cbl-M12A5F-OT2-B-Red-Fuse-100CM,WH01S-NTA,,Out
2025/08/19,2025/11/14,SO-20251178,612452,"Uber Technologies, Inc.",0,25.0,Cbl-M12A5F-OT2-B-Red-Fuse-100CM,WH01S-NTA,,Out
2025/09/26,2025/11/04,SO-20251369,165320,"Northbay Networks, Inc.",0,4.0,Cbl-M12A5F-OT2-B-Red-Fuse-100CM,WH01S-NTA,,Out
2025/06/25,2025/08/06,SO-20250911,QTD_Rotor_250623,"Rotor Technologies, Inc.",0,3.0,Cbl-M12A8M-2U2TA-180CM2,WH01S-NTA,,Out
2025/08/28,2025/10/21,SO-20251236, QTD_USACE_2507093,"US Army Corps of Engineers, ERDC-IEI",0,4.0,Cbl-M12A8M-2U2TA-180CM2,WH01S-NTA,,Out
2025/08/19,2025/11/07,SO-20251174,7291,Near Earth Autonomy,0,2.0,Cbl-M12A8M-DB9F-180CM,WH01S-NTA,,Out
2025/08/19,2025/11/07,SO-20251174,7291,Near Earth Autonomy,0,4.0,Cbl-M12A8M-DB9M-180CM,WH01S-NTA,,Out
